Title,Price,Rating,Features,Image,URL,Price_clean,Rating_clean
"SAMSUNG Galaxy A16 5G A Series Cell Phone, Unlocked Android Smartphone, Large AMOLED Display, Durable Design, Super Fast Charging, Expandable Storage, US Version, 2025, Blue Black",176.,4.2 out of 5 stars,"About this itemLAUNCH BUNDLE: Get a $25 Amazon Gift Card when you order the new Samsung Galaxy A16 5G now; select the Gift Card Bundle variation for redemption. Offer ends 1/19CRISP DETAIL. VIVID POSSIBILITIES: The ultra-clear 6.7"" display¹ of Galaxy A16 5G helps bring your content to life whether you’re checking emails or reading online blogs and recipes.MEMORIES MADE PICTURE PERFECT: Capture every angle in stunning clarity, from big group shots to close-ups, with the triple-lens camera on Galaxy A16 5G.MORE DURABLE THAN EVER BEFORE: Take on your day with confidence, thanks to the awesome durability of Galaxy A16 5G with an improved IP54 rating.²HEALTH INSIGHTS MADE EASY: Stay connected to your health with Galaxy A16 5G and Fit3. Track your steps, sleep and heart rate³ and then see it all in one place with the Samsung Health app.AWESOME EXPERIENCE. AWESOME VALUE: Galaxy A16 5G offers essential features and practical extras designed to enhance your everyday life — all at a price you’ll love.PAYING MAD EASY: Pay with a tap, plus store your cards and ID all in one app with Samsung Wallet.⁴ ⁵SIX YEARS OF UPDATES. AWESOME SECURITY: Six years of OS and security updates mean you can keep your Galaxy A16 5G longer, making it a great value for years to come.LIVE FAST. CHARGE FASTER: Focus more on the moment and less on your battery percentage with Galaxy A16 5G. Super Fast Charging⁶ powers up your battery at lightning speed so you can get back to life sooner.STORE MORE AND WORRY LESS: With improved internal storage of up to 128GB and up to 1.5TB⁷ of expandable storage, Galaxy A16 5G makes it easy to keep cherished photos, videos and important files readily accessible whenever you need them.Show more›See more product details",https://m.media-amazon.com/images/I/71KGkQ+KOKL._AC_SY300_SX300_.jpg,https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-Charging-Expandable/dp/B0DLHNWHRF/ref=sr_1_2,176.0,4.2
"SAMSUNG Galaxy S24 FE AI Phone, 128GB Unlocked Android Smartphone, High-Res 50MP Camera, Long Battery Life, Brighter Display Screen, US Version, 2024, US 1 Yr Manufacturer Warranty, Graphite",399.,4.5 out of 5 stars,"About this itemMOVE IT. REMOVE IT. IMPROVE IT: Take a great pic, then make it better using Photo Assist¹ with Galaxy AI,² It gives you suggestions for improving your photo and makes it easier to move, remove or resize objects for post-worthy pics every time.NEVER BE LOST IN TRANSLATION AGAIN: Understand text, calls and in-person conversations in another language using real-time translations¹ with Galaxy AI.²SLOW-MO MADE SIMPLE: Sometimes you just want to make the moment last longer. Using Instant Slow-Mo¹ with Galaxy AI,² simply tap and hold to replay any video in epic slow motion.DO MORE W/ EPIC BATTERY POWER: Do what you love, whether work or play, without worrying about your battery. Galaxy S24 FE intuitively manages your apps to make your charge last longer.⁴.CAPTURE HIGHLIGHTS IN LOW LIGHT: Poorly lit portraits? Not anymore. Bring details out of the dark with Night Portrait. Using AI,² your Galaxy S24 FE can analyze and optimize your low-light shots and make them shine.›See more product details",https://m.media-amazon.com/images/I/41U3tn6QAQL.__AC_SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-High-Res-Manufacturer/dp/B0DCLCPN9T/ref=sr_1_3,399.0,4.5
Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,39.,4.3 out of 5 stars,"About this item6.5"" HD+ 90Hz Display with Corning Gorilla Glass 3. / Snapdragon 680 processor.50MP sensor with Quad Pixel Photo Night Vision. / Dolby Atmos and Hi-Res Audio.5,000mAh battery for up to 46 hours of battery life. / 64GB of storage + 1TB more with microSD card. / 4GB RAM, expandable up to 6GB with RAM Boost.Carrier: This phone is locked to Tracfone, which means this device can only be used on the Tracfone wireless network. A Tracfone plan is required to activate this device. Activating is easy, upon receipt go to Tracfone Website and select “Activate” and follow the prompts.Compatible with our no-contract Unlimited Talk & Text plus Data plans starting as low as $20/month plus taxes and fees. To find the Tracfone Plans available to purchase, please go to our TF - Amazon Brand Page linked below the product title.›See more product details",https://m.media-amazon.com/images/I/71CxUvG46rL.__AC_SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.com/Tracfone-Motorola-5000mAh-Battery-Sapphire/dp/B0CTW8TXGH/ref=sr_1_4,39.0,4.3
"Tiny Love Meadow Days Baby Mobile for Crib, Newborn Baby Toys, Portable Mobile",29.,4.4 out of 5 stars,"About this itemEASY PORTABILITY: Baby mobile for bassinet clips on easily to cribs, carriers, strollers, and bassinetsENGAGING MELODIES: Features 30 minutes of continuous tunes, this crib mobile with music provides engaging melodies that your little one will loveVISUAL STIMULATION: The spinning toys on the nursery mobile has bright colors that provide visual stimulation and encourage interactive communicationCHILD DEVELOPMENT: While babies explore the hanging crib toys it can help promote development and interactive playVERSATILE ATTACHMENT: This baby mobile arm easily attaches to various baby gear, making it a convenient travel nursery mobile›See more product details",https://m.media-amazon.com/images/I/41UXBmD23bL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.com/Tiny-Love-Meadow-Along-Mobile/dp/B072LF733G/ref=sr_1_5,29.0,4.4
Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Caramel Latte,299.,4.6 out of 5 stars,"About this itemNEW built-in stylus. Jot notes, edit photos, sketch artwork, and navigate effortlessly with an improved stylus and updated software.6.7"" pOLED display and Dolby Atmos. Experience cinema-quality entertainment with over a billion shades of color and multidimensional sound*.50MP Ultra Pixel camera + OIS. Capture sharper low-light photos and smoother videos with an unshakable camera system featuring Optical Image Stabilization.30W TurboPower charging + over a day battery. Get hours of power in just minutes of charging, then work and play with unbelievable battery life**.Standout design. Make a statement with its stunning look, modern color, and soft, vegan leather finish.256GB storage + RAM Boost. Hold your everyday inspirations along with photos, songs, and movies—you can even use extra storage to boost performance***.*Dolby, Dolby Atmos, and the double-D symbol are registered trademarks of Dolby Laboratories Licensing Corporation. Manufactured under license from Dolby Laboratories.**Median users can get up to 30 hours of battery life. Battery must be substantially depleted; charging rate slows as charging progresses. All battery life claims are approximate and based on the median user tested across a mixed use profile (which includes both usage and standby time) under optimal network conditions. Actual battery performance will vary and depends on many factors including signal strength, network and device settings, temperature, battery condition, and usage patterns.***Available user storage is less due to many factors, including operating system, software and functions utilizing part of this capacity; may change with software updates. RAM Boost extended RAM requires use of phone’s internal storage as virtual memory, decreasing storage capacity; available user storage is less while in use. Available RAM is less due to operating system, software and other functions; may change with software updates. Features vary by market.Show more›See more product details",https://m.media-amazon.com/images/I/61LE9-6KxdL.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com/Stylus-Unlocked-256GB-Camera-Caramel/dp/B0D1ZFS9GH/ref=sr_1_6,299.0,4.6
Moto G 5G | 2024 | Unlocked | Made for US 4/128GB | 50MP Camera | Sage Green,227.,4.3 out of 5 stars,"About this itemImmersive 120Hz display* and Dolby Atmos: Watch movies and play games on a fast, fluid 6.6"" display backed by multidimensional stereo sound.50MP Quad Pixel camera system**: Capture sharper photos day or night with 4x the light sensitivity—and explore up close using the Macro Vision lens.Superfast 5G performance***: Unleash your entertainment at 5G speed with the Snapdragon 4 Gen 1 octa-core processor.Massive battery and speedy charging: Work and play nonstop with a long-lasting 5000mAh battery, then fuel up fast with TurboPower.****Premium design within reach: Stand out with a stunning look and comfortable feel, including a vegan leather back cover that’s soft to the touch and fingerprint resistant.Tons of built-in ultrafast storage: Get plenty of room for photos, movies, songs, and apps—and add up to 1TB with a microSD card******A minimum device refresh rate of 60Hz and a maximum refresh rate of 120Hz; actual refresh rate may be less and will vary based on app/content limitations and requirements, device mode settings, and other factors.**The 50MP sensor combines 4 pixels into 1, for an effective photo resolution of 12.5MP.***5G service available with 5G plan. 5G network coverage required; available only in select areas; device not compatible with all 5G networks. Contact your service provider for details. Qualcomm Snapdragon is a product of Qualcomm Technologies, Inc. and/or its subsidiaries. Qualcomm and Snapdragon are trademarks of Qualcomm Incorporated, registered in the United States and other countries.****Charger may be sold separately. Maximum 18W TurboPower charging speed on device. In-box charger varies by market. Check with your carrier or retailer for availability. *****Supports up to 1T microSD card, microSD cards sold separately. Content with DRM restrictions may not be able to be moved to the card.Show more›See more product details",https://m.media-amazon.com/images/I/61TTdTnaEeL._AC_SY300_SX300_.jpg,https://www.amazon.com/Moto-Unlocked-128GB-Camera-Green/dp/B0CWHXVLXG/ref=sr_1_7,227.0,4.3
"Baby Crib Mobile for Boys Girls| Boho Nursery Mobile| Gender Neutral Hand-Crocheted Mobile| Ceiling Mobile - Stars, Clouds, Moon",23.,4.3 out of 5 stars,"About this item✨GENDER NEUTRAL BABY MOBILE - Beautiful baby mobile is in soft and natural colors - white and wood color. Neutral soothing color tones make this crib mobile be suitable for both baby boys and girls. Perfectly match any nursery decor or boho decor for any room of the house.✨ NATURAL & HANDCRAFTED - 100% hand-crocheted, unfinished natural bamboo, beech, black walnut, maple. Hand stitched, hand strung with meticulous attention to the details. For better protection, a piece of sandpaper is included, you can sand it according to the smoothness you need. This mobile for your sweet baby measures approx 9 inches in diameter and approx 19 inches in length from the top to the bottom.✨ PROMOTES HEARING AND VISUAL DEVELOPMENT - Simply Hang the nursery mobile on a baby mobile holder (not included). The natural soothing color provides enough interest & imagination for infants newborns but does not overstimulate. Our baby crib mobile contains bells that will make a pleasant sound when it trembles slightly or when the wind blows. It helps the baby calm down slowly and fall asleep slowly.✨ PERFECT GIFT FOR BABY SHOWER - This stars mobile is perfect for boys or girls, it is perfect for new parents or anyone looking for the ideal gender neutral baby shower gift, birthday gift, or baby registry gift! Everyone who receives it can't help but be amazed at its cute design!✨ WE CARE ABOUT YOUR SATISFACTION – let's make is a small, family-run business located in the USA. We have been developing toy products since 2016, and it is our original intention to let mothers free their hands. Whether you're a first-time visitor or repeat customer, thank you for being a part of our journey! If you are unsatisfied with your purchase of our baby mobile, you can have a 100% refund without conditions.›See more product details",https://m.media-amazon.com/images/I/41pvnGyboLL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.com/Mobile-Nursery-Neutral-Hand-Crocheted-Ceiling/dp/B0BBZZ1SXT/ref=sr_1_8,23.0,4.3
"Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Light Blue)",179.,4.3 out of 5 stars,,https://m.media-amazon.com/images/I/61nmDdSEuUL.__AC_SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.com/Samsung-SM-155M-DSN-Unlocked-International/dp/B0CSB22F9C/ref=sr_1_9,179.0,4.3
Baby Mobile Rotary Music Box Imitation Wood with Rotating Hook Crib Mobile Motor,15.,4.2 out of 5 stars,"About this item【UNIQUE TEXTURE DESIGN】- IMITATION WOOD DESIGN makes the music box suitable for many wooden crib mobile arm, natural and beautiful, to decorate a more beautiful bedroom for your child. 2 AA batteries required, not included. Non-toxic and durable ABS material to ensure baby safety in case of biting them.【MULTIPLE MUSIC】- The music box plays 9 lullabies; it plays the whole song. Please note that there is someone singing. Lullabies make babies relax faster than white noise, creating a harmonious and relaxing atmosphere to keep your baby at ease and comfortable.【FOUR BUTTON】- Power Button, M Button and Two Buttons Of Volume. ""M"" button is actually switching from spin only, spin + music, and music only. The volume buttons actually have two functions: 1. Long Press two volume buttons for volume up / down; 2. Short Press two volume buttons for next / previous song.【ADJUSTABLE VOLUME】- You can adjust the volume at will. Long Press two volume buttons for volume up / down. Different from other motors, this crib mobile motor has 3 modes: spin only, music only, spin & music. Choose the mode you like. Auto-off after 30 minutes for power saving.【ALTERNATIVE USES】 - You can fix this baby mobile music box on the baby crib with arms or brackets, then hang toys over the hook of the baby music box. Brackets and toys are not included but you can DIY as you like. Since the Crib Mobile Motor is lightweight and small, you can carry the music box alone for outdoor activities.›See more product details",https://m.media-amazon.com/images/I/41StFz3YyjL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.com/Baby-Mobile-Music-Box-Attachments/dp/B09ZTWQYP3/ref=sr_1_10,15.0,4.2
Nokia 105 4G | Dual SIM | GSM Unlocked Mobile Phone | Volte | Charcoal | International Version | Not AT&T/Cricket/Verizon Compatible,34.,3.8 out of 5 stars,"About this itemCompatibility: The Nokia 105 4G works with GSM carriers like T-Mobile and T-Mobile subsidiaries, but not AT&T, Cricket, Verizon or Verizon/AT&T subsidiaries.Large buttons and zoomed menus for easy navigation on the 1.8"" displayStay connected with crisp, clear calls over 4G VoLTELong 12 hour battery life to keep you talking and textingRear camera, LED flashlight, games, and FM radio for entertainment›See more product details",https://m.media-amazon.com/images/I/51Uzrs4IFUL.__AC_SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.com/Nokia-Unlocked-Charcoal-International-Compatible/dp/B0D1DN7HMG/ref=sr_1_11,34.0,3.8
